sample	cg01962233	cg10191725	cg21729122	cg18000886	cg14514403	cg16507965	cg08769559	cg18102233	cg17036062	cg16414561	cg25053900	cg13806616	cg25545920	cg22437699	cg12419462	cg03038395	cg03971469	cg02651788	cg08209743	cg16954455	cg06943593	cg22820312	cg25745795	cg02022247	cg16890879	cg15854666	cg11863130	cg19011478	cg12705969	cg10709771	cg23221557	cg23238793	cg18757172	cg24728008	cg03450733	cg14831665	cg05242815	cg02938958	cg04118889	cg24825446	cg02082650	cg11158236
TCGA-AA-3712-11A	0.3778	0.4991	0.2759	0.1564	0.03629	0.02026	0.04639	0.02668	0.02394	0.04433	0.07231	0.2358	0.4268	0.5182	0.01515	0.09363	0.01962	0.03377	0.03768	0.0757	0.0218	0.09116	0.3046	0.09493	0.08188	0.105	0.1992	0.2045	0.5202	0.3916	0.0538	0.2864	0.04044	0.07036	0.3584	0.06015	0.04881	0.02062	0.1129	0.09803	0.1506	0.3801
TCGA-A6-2678-11A																																										
TCGA-AA-3489-11A																																										
TCGA-AA-3697-11A	0.3532	0.4555	0.227	0.1839	0.04209	0.0248	0.04311	0.02186	0.03786	0.03846	0.06238	0.2327	0.4012	0.5263	0.01339	0.1321	0.01923	0.0274	0.03773	0.09986	0.03278	0.05944	0.313	0.08398	0.0607	0.05897	0.1587	0.2154	0.4963	0.3995	0.08208	0.3532	0.04674	0.07746	0.4619	0.06065	0.04702	0.02103	0.119	0.1055	0.3342	0.4852
TCGA-AA-3713-11A	0.3262	0.3713	0.1703	0.1163	0.02907	0.02218	0.04413	0.02603	0.05058	0.03279	0.06905	0.2015	0.4264	0.4414	0.01429	0.05614	0.02243	0.02847	0.03661	0.05715	0.01623	0.1214	0.3054	0.1118	0.04361	0.05622	0.1636	0.217	0.5386	0.3353	0.08453	0.2981	0.05134	0.05991	0.245	0.05339	0.05548	0.01685	0.1049	0.1106	0.2485	0.5031
TCGA-AA-3514-11A																																										
TCGA-A6-2685-11A	0.3531	0.588	0.426	0.4974	0.3546	0.3515	0.2686	0.2365	0.5731	0.3787	0.3861	0.3927	0.3954	0.4485	0.4305	0.4768	0.2153	0.4054	0.1942	0.4746	0.3825	0.3623	0.3088	0.2778	0.514	0.3199	0.5307	0.3305	0.6066	0.4472	0.33	0.4355	0.4966	0.4173	0.5916	0.569	0.4474	0.3359	0.3994	0.2935	0.4335	0.4426
TCGA-AA-3520-11A																																										
TCGA-A6-5667-11A	0.365	0.5618	0.4264	0.4121	0.311	0.258	0.2161	0.2101	0.5498	0.3842	0.3686	0.3921	0.4203	0.4287	0.4108	0.4953	0.1573	0.4128	0.2083	0.4565	0.3503	0.3577	0.3879	0.3127	0.5139	0.3351	0.615	0.3658	0.6974	0.5549	0.355	0.4687	0.4464	0.4766	0.5539	0.5116	0.4499	0.2962	0.3969	0.3395	0.4536	0.4439
TCGA-AA-3518-11A																																										
TCGA-A6-2684-11A	0.4702	0.6524	0.4786	0.5234	0.408	0.3635	0.3074	0.2681	0.6069	0.3967	0.4233	0.4255	0.5046	0.5299	0.4779	0.4828	0.2298	0.4199	0.2155	0.4569	0.4258	0.4204	0.4796	0.3264	0.5801	0.3958	0.581	0.4182	0.7128	0.4937	0.3874	0.5273	0.5757	0.4857	0.6048	0.5452	0.4503	0.3745	0.3952	0.3374	0.4549	0.5837
TCGA-AA-3663-11A	0.2706	0.2961	0.1249	0.06176	0.02739	0.01979	0.03683	0.0271	0.0247	0.03371	0.1091	0.2055	0.4367	0.5003	0.01499	0.07562	0.01989	0.02454	0.03689	0.07105	0.0178	0.07562	0.3582	0.08897	0.04004	0.06746	0.1821	0.163	0.4511	0.4195	0.07192	0.2355	0.05127	0.06344	0.292	0.04225	0.02554	0.01998	0.1083	0.1011	0.2372	0.3998
TCGA-A6-2686-11A	0.4649	0.6878	0.482	0.5394	0.3836	0.3786	0.2824	0.2836	0.5844	0.4011	0.3799	0.3778	0.4957	0.5256	0.4861	0.4649	0.2296	0.3875	0.1883	0.4745	0.4351	0.3938	0.4206	0.3275	0.5733	0.4735	0.6116	0.4273	0.6979	0.456	0.4103	0.5376	0.5566	0.4745	0.6468	0.5475	0.4541	0.3498	0.4043	0.3016	0.4674	0.5353
TCGA-A6-2679-11A	0.412	0.6342	0.4496	0.5498	0.3836	0.3647	0.271	0.2804	0.5534	0.424	0.3998	0.3843	0.4425	0.4839	0.4784	0.4754	0.2119	0.4394	0.18	0.5059	0.3929	0.3945	0.3694	0.234	0.5768	0.3453	0.6014	0.3796	0.7029	0.4776	0.3446	0.5115	0.5587	0.4379	0.5569	0.5816	0.463	0.3131	0.385	0.2848	0.473	0.5737
TCGA-AA-3534-11A																																										
TCGA-AA-3522-11A																																										
TCGA-AA-3527-11A																																										
TCGA-AA-3531-11A																																										
TCGA-A6-5662-11A																																										
TCGA-A6-5665-11A																																										
TCGA-AA-3516-11A																																										
TCGA-AA-3496-11A																																										
TCGA-A6-5659-11A																																										
TCGA-A6-2680-11A	0.4212	0.6244	0.4689	0.4569	0.3444	0.3372	0.2709	0.2339	0.5511	0.4055	0.4148	0.3895	0.4426	0.4641	0.4457	0.4902	0.2115	0.4073	0.1548	0.4635	0.3998	0.4089	0.4047	0.2743	0.527	0.3897	0.5699	0.4484	0.7162	0.4798	0.3331	0.5287	0.5286	0.4355	0.5309	0.5386	0.4308	0.3441	0.4166	0.2746	0.4523	0.5599
TCGA-AA-3517-11A																																										
TCGA-A6-2675-11A	0.4588	0.3306	0.1977	0.127	0.03117	0.02047	0.03617	0.02322	0.04808	0.4223	0.09619	0.2772	0.3925	0.5678	0.05717	0.05356	0.02241	0.02826	0.03374	0.0858	0.02552	0.06734	0.3005	0.05417	0.07169	0.04426	0.1254	0.1882	0.5159	0.4678	0.05294	0.2629	0.07065	0.04762	0.1838	0.04976	0.0262	0.02254	0.07451	0.1242	0.4584	0.3959
TCGA-AZ-6605-11A																																										
TCGA-G4-6625-11A	0.4829	0.7217	0.4854	0.4925	0.4436	0.3403	0.3233	0.2809	0.5859	0.4433	0.408	0.4477	0.5016	0.5039	0.4921	0.5427	0.2379	0.4942	0.2474	0.4846	0.4398	0.4559	0.3784	0.2496	0.5552	0.4167	0.7054	0.347	0.6492	0.4721	0.4601	0.5123	0.6337	0.5339	0.619	0.6078	0.4663	0.365	0.4987	0.3103	0.4615	0.5532
TCGA-G4-6322-11A	0.3586	0.4343	0.2533	0.1735	0.04354	0.02258	0.03972	0.02643	0.02344	0.03345	0.05017	0.2101	0.3831	0.4596	0.01341	0.05463	0.02153	0.024	0.04496	0.06617	0.01879	0.05179	0.2196	0.1002	0.1351	0.09252	0.1366	0.3186	0.4602	0.41	0.07326	0.2984	0.0433	0.04294	0.2807	0.0547	0.0241	0.01758	0.07724	0.09298	0.1464	0.222
TCGA-G4-6302-11A	0.5382	0.672	0.4373	0.4121	0.568	0.3292	0.3279	0.2124	0.3424	0.4914	0.3967	0.509	0.5436	0.9256	0.5885	0.4449	0.1253	0.5758	0.1698	0.4663	0.3744	0.3887	0.4536	0.2125	0.5486	0.3374	0.6445	0.2303	0.6048	0.4296	0.3757	0.4474	0.4499	0.4017	0.7572	0.4482	0.4486	0.3135	0.3126	0.4141	0.5777	0.2357
TCGA-G4-6311-11A	0.458	0.5944	0.3082	0.1803	0.05676	0.02826	0.03656	0.02238	0.08287	0.0532	0.1043	0.2602	0.4173	0.5171	0.01643	0.07701	0.02653	0.03438	0.04221	0.0562	0.02269	0.1029	0.4029	0.1192	0.09148	0.07248	0.232	0.4061	0.508	0.3296	0.08534	0.2769	0.06179	0.07378	0.4659	0.09853	0.06382	0.02585	0.1034	0.1196	0.1983	0.487
TCGA-AA-3492-11A	0.4836	0.6839	0.4545	0.541	0.3567	0.3478	0.2969	0.3039	0.5897	0.4345	0.3711	0.4085	0.4856	0.5556	0.4704	0.4733	0.2096	0.4032	0.1505	0.4552	0.4009	0.4042	0.4488	0.303	0.5872	0.3612	0.5761	0.4727	0.6382	0.4649	0.3232	0.5199	0.5458	0.4657	0.6519	0.5671	0.445	0.294	0.3612	0.3158	0.4594	0.5988
TCGA-G4-6320-11A	0.4083	0.5718	0.2635	0.2319	0.0586	0.03133	0.04514	0.0264	0.09867	0.04989	0.08642	0.213	0.4154	0.4792	0.01438	0.05852	0.02062	0.03795	0.03495	0.06529	0.02097	0.1293	0.266	0.1019	0.06277	0.0667	0.1378	0.2127	0.5873	0.3212	0.08576	0.3009	0.06487	0.05174	0.2471	0.1108	0.08996	0.02136	0.1011	0.08284	0.1824	0.3357
TCGA-A6-2681-11A	0.4341	0.6617	0.4074	0.5373	0.3681	0.3399	0.262	0.2332	0.5803	0.406	0.4255	0.3796	0.4698	0.5014	0.4736	0.4715	0.2084	0.4132	0.1951	0.4718	0.4255	0.3952	0.4206	0.3049	0.5343	0.3885	0.593	0.3565	0.5915	0.4823	0.3493	0.5132	0.5358	0.43	0.5907	0.5389	0.4491	0.3621	0.3741	0.2893	0.4577	0.5544
TCGA-AA-3488-11A	0.3502	0.4117	0.2007	0.2433	0.07044	0.03415	0.04518	0.02881	0.04171	0.05873	0.08348	0.1928	0.4122	0.4609	0.02046	0.05513	0.02883	0.03451	0.05074	0.1207	0.0294	0.07862	0.2571	0.08832	0.07606	0.06431	0.1905	0.2087	0.5759	0.4971	0.09564	0.3308	0.08595	0.05992	0.3577	0.07113	0.06204	0.02287	0.1057	0.1119	0.25	0.4443
TCGA-G4-6295-11A	0.464	0.6431	0.4402	0.4332	0.3195	0.3387	0.3054	0.2248	0.5549	0.4495	0.3931	0.4154	0.5081	0.5438	0.4694	0.4564	0.1559	0.39	0.1448	0.4673	0.3975	0.3978	0.4955	0.294	0.5097	0.3772	0.5962	0.4991	0.686	0.4185	0.3486	0.5008	0.5214	0.4236	0.672	0.5588	0.4426	0.3163	0.3675	0.3161	0.4172	0.5548
TCGA-AA-3502-11A	0.3656	0.4072	0.2549	0.2357	0.05623	0.04339	0.04462	0.03473	0.06998	0.06276	0.06976	0.2397	0.4339	0.5176	0.01559	0.04967	0.02095	0.03166	0.04311	0.09893	0.02765	0.0676	0.3274	0.0604	0.06349	0.07941	0.1706	0.1726	0.4419	0.3709	0.1113	0.3997	0.07137	0.07082	0.4016	0.1099	0.1197	0.02374	0.1252	0.104	0.2108	0.6349
TCGA-G4-6297-11A	0.4332	0.6406	0.4745	0.4546	0.3689	0.3122	0.2847	0.2389	0.562	0.4034	0.4167	0.4458	0.4802	0.4987	0.4582	0.5238	0.1434	0.4618	0.1707	0.4651	0.3771	0.3742	0.4486	0.3482	0.5112	0.3097	0.6565	0.4217	0.6746	0.5083	0.395	0.4735	0.4982	0.4871	0.6168	0.5443	0.4286	0.3186	0.381	0.2928	0.5192	0.5705
TCGA-AA-3495-11A	0.4114	0.4689	0.2224	0.2422	0.0626	0.02985	0.02878	0.04583	0.03786	0.05897	0.08364	0.2074	0.4507	0.5391	0.01945	0.06423	0.02566	0.03071	0.04713	0.09692	0.03692	0.05507	0.3499	0.1026	0.06277	0.0722	0.1839	0.2565	0.5107	0.506	0.08046	0.3864	0.1077	0.06883	0.3993	0.04756	0.07142	0.02421	0.118	0.07755	0.1954	0.4138
TCGA-G4-6314-11A	0.4497	0.6632	0.4833	0.4466	0.3734	0.3535	0.3109	0.2693	0.5457	0.411	0.4055	0.4087	0.4957	0.5202	0.4573	0.4843	0.167	0.3879	0.2007	0.4568	0.4103	0.3969	0.5208	0.3496	0.6143	0.4571	0.655	0.4421	0.6637	0.5323	0.3555	0.478	0.4795	0.4842	0.615	0.5626	0.4404	0.3213	0.3725	0.3157	0.4733	0.5917
TCGA-AA-3506-11A	0.354	0.4158	0.1732	0.2001	0.05036	0.03001	0.03947	0.03097	0.05492	0.05553	0.08724	0.1868	0.4729	0.5216	0.01898	0.05796	0.02777	0.02951	0.04652	0.1216	0.03385	0.09564	0.3141	0.1112	0.06468	0.09013	0.1812	0.2101	0.4719	0.4608	0.08919	0.3414	0.1076	0.07866	0.24	0.06429	0.05474	0.03198	0.1003	0.08756	0.3075	0.447
TCGA-AA-3509-11A	0.3937	0.6015	0.4386	0.5478	0.3242	0.2946	0.2397	0.2449	0.5553	0.4687	0.3977	0.3827	0.4786	0.484	0.4429	0.5312	0.1981	0.3914	0.1588	0.4535	0.3763	0.3822	0.4635	0.3661	0.5229	0.3305	0.6069	0.4188	0.6651	0.6336	0.3368	0.4995	0.4587	0.4474	0.5703	0.5632	0.4179	0.3113	0.4824	0.3081	0.6257	0.6568
TCGA-G4-6298-11A	0.5186	0.5694	0.3756	0.146	0.04587	0.03083	0.03907	0.0259	0.08422	0.04463	0.1096	0.2629	0.4557	0.6241	0.01569	0.08877	0.01986	0.05155	0.03727	0.06279	0.02266	0.0841	0.3805	0.08892	0.06912	0.09206	0.19	0.3484	0.5689	0.323	0.07409	0.2978	0.05602	0.06563	0.3342	0.05773	0.113	0.02422	0.1277	0.106	0.2261	0.3702
TCGA-AA-3494-11A	0.3579	0.3319	0.1731	0.1981	0.04495	0.02399	0.03492	0.02716	0.03155	0.04877	0.06247	0.1937	0.359	0.4661	0.01478	0.07368	0.02389	0.03391	0.04416	0.07267	0.02896	0.1357	0.3012	0.07196	0.044	0.09561	0.1748	0.1811	0.4609	0.4571	0.08416	0.3465	0.0446	0.05708	0.3402	0.05946	0.0415	0.02232	0.1219	0.09676	0.2341	0.4579
TCGA-AA-3510-11A	0.3605	0.4159	0.1957	0.1973	0.05151	0.03032	0.03957	0.0342	0.04733	0.05923	0.06931	0.2127	0.3423	0.476	0.01843	0.08022	0.02436	0.0339	0.05625	0.08227	0.01839	0.07867	0.2871	0.0751	0.07233	0.07279	0.2112	0.1995	0.6838	0.3345	0.1303	0.3846	0.101	0.07912	0.2802	0.08778	0.0854	0.02675	0.126	0.07642	0.1638	0.3928
TCGA-A6-4107-11A	0.3845	0.6135	0.4161	0.4906	0.3031	0.3172	0.2263	0.2791	0.5476	0.4026	0.3368	0.3484	0.4345	0.4572	0.4452	0.4738	0.2042	0.3551	0.1699	0.469	0.3654	0.3844	0.4271	0.2891	0.4634	0.3342	0.5756	0.4086	0.6251	0.5263	0.3032	0.4943	0.4786	0.4195	0.5924	0.4963	0.4369	0.307	0.3745	0.2491	0.4989	0.6871
TCGA-A6-2672-11A																																										
TCGA-A6-2674-11A																																										
TCGA-A6-2676-11A																																										
TCGA-A6-2677-11A																																										
TCGA-A6-3807-11A																																										
TCGA-A6-3808-11A																																										
TCGA-A6-3809-11A																																										
TCGA-A6-3810-11A																																										
TCGA-A6-5657-11A																																										
TCGA-A6-5660-11A																																										
TCGA-A6-5661-11A																																										
TCGA-A6-5666-11A																																										
TCGA-AA-3519-11A																																										
TCGA-AA-3521-11A																																										
TCGA-AA-3524-11A																																										
TCGA-AA-3526-11A																																										
TCGA-AA-3529-11A																																										
TCGA-AA-3530-11A																																										
TCGA-AA-3532-11A																																										
TCGA-AA-A01P-11A																																										
TCGA-AA-A01R-11A																																										
TCGA-AA-A01S-11A																																										
TCGA-AA-A01T-11A																																										
TCGA-AA-A01V-11A																																										
TCGA-AA-A01X-11A																																										
TCGA-AA-A01Z-11A																																										
TCGA-AA-A022-11A																																										
TCGA-AA-A02O-11A																																										
TCGA-AA-A03F-11A																																										
TCGA-AA-A03J-11A																																										
TCGA-AZ-6606-11A																																										
TCGA-AZ-6607-11A																																										
TCGA-AZ-6608-11A																																										
TCGA-AA-A00J-01A																																										
TCGA-AA-3492-01A	0.7756	0.8702	0.6214	0.8356	0.8129	0.6362	0.4798	0.676	0.8405	0.8955	0.8079	0.6557	0.8133	0.7891	0.4748	0.4571	0.2517	0.453	0.5879	0.6627	0.6399	0.7069	0.845	0.6856	0.9594	0.7343	0.866	0.8754	0.6612	0.863	0.6872	0.7353	0.908	0.6581	0.9181	0.928	0.6823	0.6542	0.7982	0.6561	0.8767	0.8992
TCGA-G4-6314-01A	0.5216	0.7709	0.2996	0.3137	0.1096	0.1201	0.07996	0.05689	0.3257	0.1185	0.1253	0.2768	0.5219	0.5746	0.2381	0.4252	0.04131	0.2085	0.1394	0.414	0.2661	0.3035	0.6364	0.2004	0.2802	0.07788	0.4616	0.4073	0.515	0.6354	0.1483	0.2866	0.07665	0.3076	0.7127	0.4909	0.2446	0.1496	0.2651	0.3046	0.5602	0.847
TCGA-A6-6653-01A	0.5927	0.913	0.8534	0.747	0.7663	0.6702	0.7205	0.6886	0.8328	0.7728	0.9144	0.7328	0.875	0.881	0.01595	0.03845	0.02191	0.02568	0.8962	0.7069	0.6732	0.683	0.8899	0.8361	0.9195	0.7852	0.889	0.8649	0.5218	0.4257	0.7867	0.7732	0.8718	0.8503	0.8543	0.9467	0.6835	0.5742	0.7435	0.4431	0.8752	0.8643
TCGA-CK-5913-01A	0.6465	0.8362	0.4811	0.7866	0.7766	0.508	0.3823	0.6634	0.808	0.8321	0.6933	0.6235	0.4539	0.5685	0.5944	0.5903	0.3717	0.5364	0.2439	0.6778	0.6279	0.6448	0.4638	0.5001	0.9124	0.5598	0.8719	0.7023	0.6985	0.7418	0.6014	0.6129	0.6912	0.6373	0.9158	0.9241	0.6687	0.6501	0.7528	0.4458	0.551	0.7963
TCGA-AD-6965-01A	0.7913	0.8721	0.2411	0.4525	0.06318	0.02303	0.04102	0.02821	0.03003	0.03889	0.05617	0.1587	0.5535	0.7879	0.01907	0.0506	0.02915	0.03108	0.07798	0.5407	0.5296	0.5476	0.8461	0.2755	0.05938	0.05707	0.1066	0.6345	0.3693	0.4914	0.08613	0.3674	0.09082	0.06814	0.876	0.4837	0.05569	0.01812	0.1195	0.1242	0.1348	0.4403
TCGA-AA-3672-01A																																										
TCGA-AA-A00U-01A																																										
TCGA-AA-3815-01A																																										
TCGA-AA-3518-01A																																										
TCGA-AA-3555-01A																																										
TCGA-A6-5661-01A	0.7221	0.8421	0.6466	0.7119	0.7004	0.4682	0.3667	0.5186	0.8145	0.7987	0.7602	0.6758	0.7543	0.7503	0.4551	0.5715	0.2346	0.516	0.5736	0.6259	0.577	0.5914	0.8497	0.6225	0.8868	0.6916	0.8438	0.6819	0.7931	0.5537	0.6774	0.7217	0.8044	0.7937	0.8956	0.8602	0.6088	0.5717	0.6717	0.6643	0.768	0.7644
TCGA-AA-A00E-01A																																										
TCGA-AD-6889-01A	0.8177	0.8997	0.8514	0.8618	0.7853	0.6577	0.6226	0.7473	0.9015	0.892	0.9108	0.7016	0.886	0.87	0.02009	0.04342	0.03083	0.03976	0.6181	0.7276	0.7017	0.7402	0.887	0.8455	0.9464	0.9079	0.8945	0.8602	0.798	0.9053	0.05475	0.3156	0.267	0.09127	0.9263	0.9298	0.6782	0.6661	0.7948	0.7077	0.09288	0.1099
TCGA-AA-A02O-01A																																										
TCGA-A6-5665-01A	0.7333	0.8412	0.666	0.4761	0.3951	0.4371	0.3584	0.3311	0.5719	0.4692	0.4854	0.4289	0.3795	0.6072	0.5514	0.5271	0.2969	0.5543	0.1226	0.4936	0.4556	0.4833	0.6856	0.3795	0.713	0.5425	0.6836	0.4094	0.6563	0.7714	0.6997	0.7782	0.8675	0.5551	0.8998	0.8696	0.6546	0.6152	0.7268	0.4171	0.7059	0.8589
TCGA-AA-3664-01A																																										
TCGA-AA-3514-01A																																										
TCGA-G4-6586-01A	0.4523	0.8349	0.6707	0.5176	0.4048	0.3541	0.3557	0.391	0.5852	0.5618	0.4797	0.576	0.5491	0.7796	0.5008	0.4594	0.2015	0.4434	0.1241	0.6319	0.5838	0.6699	0.777	0.228	0.9072	0.5503	0.7916	0.3035	0.7885	0.2877	0.4128	0.5161	0.6046	0.5563	0.9059	0.9214	0.6239	0.6213	0.7542	0.462	0.7112	0.9016
TCGA-AA-A01R-01A																																										
TCGA-DM-A1HB-01A	0.7337	0.7613	0.6092	0.09787	0.02743	0.02612	0.05013	0.03113	0.02725	0.05348	0.08843	0.5723	0.7585	0.7668	0.016	0.07387	0.02341	0.03116	0.182	0.5958	0.5378	0.566	0.8381	0.7039	0.7561	0.7845	0.8264	0.696	0.6951	0.7428	0.08667	0.2442	0.09921	0.05806	0.8123	0.7733	0.5611	0.4862	0.5645	0.5718	0.135	0.3434
TCGA-AA-3842-01A																																										
TCGA-AZ-6598-01A	0.7747	0.9141	0.7735	0.7455	0.8458	0.6295	0.4488	0.6426	0.8503	0.8699	0.8034	0.6816	0.822	0.7745	0.2579	0.3427	0.05578	0.2294	0.3188	0.6913	0.6762	0.686	0.9061	0.693	0.9416	0.8083	0.9109	0.8614	0.6232	0.8912	0.7484	0.749	0.9055	0.7698	0.8824	0.9365	0.6624	0.6084	0.7401	0.5923	0.8192	0.8926
TCGA-CM-6171-01A	0.6559	0.821	0.2701	0.566	0.418	0.3736	0.2658	0.2968	0.5611	0.4629	0.4303	0.5204	0.5231	0.7507	0.483	0.5261	0.2374	0.4786	0.08565	0.5279	0.4926	0.6465	0.8052	0.4849	0.9238	0.4692	0.8112	0.7019	0.4847	0.599	0.4695	0.7749	0.8949	0.762	0.9131	0.9304	0.6728	0.6625	0.7843	0.6011	0.4714	0.6009
TCGA-AZ-6601-01A	0.6661	0.693	0.354	0.5343	0.2967	0.05041	0.03316	0.02801	0.03877	0.05032	0.07788	0.4048	0.3499	0.7083	0.01403	0.08485	0.02278	0.1634	0.07208	0.455	0.4177	0.3329	0.6887	0.1955	0.2822	0.3825	0.2548	0.2901	0.631	0.6416	0.5328	0.419	0.09006	0.06331	0.8082	0.7229	0.4419	0.06044	0.1563	0.1188	0.3561	0.826
TCGA-G4-6304-01A	0.4375	0.5412	0.4112	0.5357	0.2915	0.2779	0.1956	0.265	0.5626	0.4677	0.354	0.38	0.3986	0.4691	0.5445	0.5385	0.1634	0.464	0.1012	0.5339	0.4418	0.4369	0.4951	0.3463	0.6641	0.3088	0.7345	0.4634	0.599	0.3838	0.3102	0.48	0.4454	0.4546	0.7739	0.6714	0.4539	0.2996	0.4371	0.2351	0.4576	0.8531
TCGA-AA-3848-01A																																										
TCGA-CK-6747-01A	0.4845	0.8852	0.4636	0.4026	0.249	0.3999	0.3404	0.3185	0.5677	0.4261	0.4729	0.389	0.3302	0.8	0.535	0.535	0.2712	0.46	0.2834	0.5063	0.4825	0.6792	0.6064	0.431	0.6098	0.5143	0.8691	0.8408	0.8155	0.5312	0.4621	0.554	0.5386	0.5345	0.8149	0.9142	0.464	0.383	0.3536	0.2422	0.3969	0.6292
